,society_name,short_description,bhk,square_feet,price,description
15,Griha Pravesh,"3 BHK Flat in Sector 77, Noida",3 BHK,"2,276 sqft",₹2.4 Cr,"This 3 bhk flat is located in griha pravesh, which houses some of the most spacious flats in sector 77 noida. The flat is facing the east direction. The flat is over 2276 sq.Ft. Carpet area and comes with 3 bedroom(s), 3 bathrooms and more than 3 balconies. This flat is situated on the 9th floor of this 18 floors tall residential building. This is a ready to move project and the property is 1-5..."
16,Griha Pravesh,"2 BHK Flat in Sector 77, Noida",2 BHK,"1,130 sqft",₹1.1 Cr,"Griha pravesh is one of the most popular destination for buying apartments/ flats in sector 77 noida. You too can be a part of this society by purchasing this 2 bhk flat here. The flat occupies a super built up area of 1130 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 3 balconies. The residential building has 18 floors in total and the flat for sale is located on the 11th floor. Being a ..."
17,Griha Pravesh,"3 BHK Flat in Sector 77, Noida",3 BHK,"2,276 sqft",₹2.2 Cr,Apartment for sale sector-77 noida 3bhk dd 4bathroom servant room semi furnished flat park facing power backup swimming pool gym club car parking.
18,Griha Pravesh,"2 BHK Flat in Sector 77, Noida",2 BHK,"1,175 sqft",₹1.05 Cr,"Check out this 2 bhk apartment for sale in griha pravesh, a popular residential project that houses in-Demand flats in sector 77 noida. Constructed on a super built up area of 1175 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and more than 3 balconies. This flat is situated on the 10th floor of this 18 floors tall residential building. An added advantage of this 1-5 years old flat is th..."
19,Griha Pravesh,"3 BHK Flat in Sector 77, Noida",3 BHK,"1,726 sqft",₹1.85 Cr,"This lovely 3 bhk apartment/flat in sector 77 noida is available for sale in one of noida's most popular projects, griha pravesh. The flat is facing the east direction. The flat occupies a super built up area of 1726 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and more than 3 balconies. This flat lies on the 16th level of a 18 storey building. This 1-5 years old property is available for im..."
20,Griha Pravesh,"3 BHK Flat in Sector 77, Noida",3 BHK,"1,971 sqft",₹2.31 Cr,"Semi-Furnished flat includes interior design upgrades like balcony extensions, modular kitchen, fixed wardrobes plus additional power backup and basic fans & lights only. But all the furniture, white goods, electrical & electronic equipments that can be detached without harming the fixed property interiors will be removed."
21,Griha Pravesh,"3 BHK Flat in Sector 77, Noida",3 BHK,"2,276 sqft",₹2.25 Cr,Apartment for sale sector-77 noida 3bhk dd 4bathroom servant room 16th floor semi furnished flat power backup swimming pool gym club car parking
22,Griha Pravesh,"3 BHK Flat in Sector 77, Noida",3 BHK,"1,726 sqft",₹1.81 Cr,Apartment for sale sector-77 noida 3bhk dd 3bathroom puja room area-1726sqft floor sun facing flat fully wood work power backup swimming pool gym club car parking.
23,Griha Pravesh,"2 BHK Flat in Sector 77, Noida",2 BHK,"1,175 sqft",₹1.08 Cr,"Griha pravesh is one of the most popular destination for buying apartments/ flats in sector 77 noida. You too can be a part of this society by purchasing this 2 bhk flat here. The flat occupies a super built up area of 1175 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and more than 3 balconies. The flat has a total of 18 floors and this property is situated on 9th floor. As the project is al..."
24,Griha Pravesh,"3 BHK Flat in Sector 77, Noida",3 BHK,"1,971 sqft",₹2.35 Cr,"Grihapravesh in sector 77, noida is a popular society in the city, it is well made and has all the amenities you need. Looking for a safe space for you or the kids to run, the jogging track here is ideal for a run at any time of day. There is ample space for bike parking in this society, your vehicle will be fully protected and safe here. No matter what the weather is like outside, you can alwa..."
25,Griha Pravesh,"3 BHK Flat in Sector 77, Noida",3 BHK,"1,290 sqft",₹1.65 Cr,"Check out this 3 bhk apartment for sale in griha pravesh, a popular residential project that houses in-Demand flats in sector 77 noida. The flat is east-Facing. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 3 balconies. All in all, the flat is spread over a built up area of 1290 sq.Ft. This flat is situated on the 12th floor of this 18 floors tall residential building. An a..."
26,Griha Pravesh,"2 BHK Flat in Sector 77, Noida",2 BHK,"1,175 sqft",₹1.1 Cr,Flat for sale 2bhk ready to move near by metro station malls and schools
27,Griha Pravesh,"3 BHK Flat in Sector 77, Noida",3 BHK,"1,726 sqft",₹1.83 Cr,Apartment for sale sector-77 noida 3bhk dd 3bathroom puja room semi furnished flat area-1726sqft 14th floor park facing power backup swimming pool gym club car parking.
28,Griha Pravesh,"3 BHK Flat in Sector 77, Noida",3 BHK,"1,971 sqft",₹2.1 Cr,"This beautiful 3 bhk flat in sector 77 noida is situated in griha pravesh, one of the popular residential society in noida. This residential flat is north-West-Facing direction. Containing 3 bedroom(s), 4 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 1971 sq.Ft. The property is located on the 12th floor of a 18 floors tall building. This 1-5 years old pr..."
29,Griha Pravesh,"3 BHK Flat in Sector 77, Noida",3 BHK,"1,971 sqft",₹2.3 Cr,"Check out this 3 bhk apartment for sale in griha pravesh, a popular residential project that houses in-Demand flats in sector 77 noida. This property faces the east direction. The flat is over 1971 sq.Ft. Super built up area and comes with 3 bedroom(s), 4 bathrooms and more than 3 balconies. The property is located on the 15th floor of a 18 floors tall building. This is a ready to move project ..."
30,Griha Pravesh,"2 BHK Flat in Sector 77, Noida",2 BHK,"1,175 sqft",₹90 Lac,"Griha pravesh is one of the most popular destination for buying apartments/ flats in sector 77 noida. You too can be a part of this society by purchasing this 2 bhk flat here. The flat occupies a super built up area of 1175 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and more than 3 balconies. The residential building has 18 floors in total and the flat for sale is located on the 10th floor..."
32,Griha Pravesh,"4 BHK Flat in Sector 77, Noida",4 BHK,"2,569 sqft",₹2.75 Cr,"Griha pravesh is one of the most popular destination for buying apartments/ flats in sector 77 noida. You too can be a part of this society by purchasing this 4 bhk flat here. The flat is facing the east direction. The flat occupies a super built up area of 2569 sq.Ft. That consists of 4 bedrooms, 5 bathrooms and more than 3 balconies. This flat is situated on the 9th floor of this 18 floors ta..."
33,Griha Pravesh,"2 BHK Flat in Sector 77, Noida",2 BHK,"1,130 sqft",₹99 Lac,Apartment for sale sector-77 noida arae-1130sqft 2bhk dd 2bathroom semi furnished park facing and sum facing flat power backup swimming pool gym club car parking
34,Griha Pravesh,"3 BHK Flat in Sector 77, Noida",3 BHK,"1,726 sqft",₹1.7 Cr,Apartment for sale sector-77 noida 3bhk dd 3bathroom puja room area-1726sqft semi furnished flat power backup swimming pool gym club car parking
35,Griha Pravesh,"2 BHK Flat in Sector 77, Noida",2 BHK,"1,175 sqft",₹98 Lac,Apartment for sale sector 77 noida 2bhk dd 2bathroom semi furnished flat power backup swimming pool gym club car parking.
36,Griha Pravesh,"3 BHK Flat in Sector 77, Noida",3 BHK,"1,726 sqft",₹1.8 Cr,Apartment for sale sector-77 noida 3bhk dd 3bathroom puja room semi furnished flat power backup swimming pool gym club car parking sun facing.
