,society_name,short_description,bhk,square_feet,price,description
37,DDA Flats Vasant Kunj,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,999 sqft,₹2.15 Cr,East facing 2 bhk apartment with huge balcony. First alotee moving out of city. Limited time golden opportunity to own this apartment at throw away price.
38,DDA New Allotment,"2 BHK Flat in Sector E Vasant Kunj, Delhi",2 BHK,"1,200 sqft",₹1.85 Cr,"This lovely 2 bhk apartment/flat in sector e vasant kunj is available for sale in one of south delhi's most popular projects, dda new allotment. This residential flat is east-Facing direction. Constructed on a super built up area of 1200 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. This flat is situated on the 2nd floor of this 7 floors tall residential building. Being ..."
39,RWA Malviya Nagar Block M,"2 BHK Independent Builder Floor in Malviya Nagar, Delhi",2 BHK,900 sqft,₹1.28 Cr,"We have a builder floor available for sale in malviya nagar, delhi. Available at price of rs 1.28 crores. It has area of 900 sq ft. It has 2 bhk, 2 bathroom, 2 balcony.It is a freehold property.With lift and one inside and one out side car parking."
40,"Chattarpur, Delhi, South Delhi","2 BHK Independent Builder Floor in Chattarpur, Delhi",2 BHK,750 sqft,₹61.5 Lac,"This 2 bhk builder floor located in chattarpur, one of the prime locations in south delhi, is available for sale. 2 bedrooms, 2 bathrooms and 1 balcony are present in this builder floor. This property is semi-Furnished. This builder floor spreads over carpet area of 750 sq.Ft. It is located on ground floor of 4 storey building. You can plan to move in immediately in this amazing ready to move i..."
41,Mandakini Enclave,"2 BHK Flat in Alaknanda, Delhi",2 BHK,"1,430 sqft",₹2.25 Cr,"This 2 bhk flat is located in mandakini enclave, which houses some of the most spacious flats in alaknanda, south delhi. The flat is facing the east direction. The flat occupies a super built up area of 1430 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 1 balcony. The residential building has 3 floors in total and the flat for sale is located on the 1st floor. As the project is already re..."
42,DDA Flats Sarita Vihar,"2 BHK Flat in Sarita Vihar, Delhi",2 BHK,"1,300 sqft",₹1.55 Cr,2 bedroom 2 washroom drawing and dining one big balcony one big kitchen one sccoter garage flat is on second floor corner flat work is normal in sarita vihar
43,"Block B Lajpat Nagar 1, Delhi, South Delhi","2 BHK Independent Builder Floor in Block B Lajpat Nagar 1, Delhi",2 BHK,"1,000 sqft",₹1.7 Cr,Well constructed & renovted property semi furnish
44,3rd & Terrace Can be converted into 4BHK,"2 BHK Flat in Saket, Delhi",2 BHK,"1,350 sqft",₹1.75 Cr,"Situated in saket, south delhi, saket dda top floor & terrace can be converted into 4bhk is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in south delhi is your opportunity to be a part of this community. The flat is north-East-Facing. The flat occupies a super built up area of 1350 sq.Ft. That consists of 2 bedrooms, 1 bathroom and 2 balconie..."
45,"Safdarjung Enclave, Delhi, South Delhi","2 BHK Independent Builder Floor in Safdarjung Enclave, Delhi",2 BHK,"1,300 sqft",₹3.25 Cr,Second floor safdarjung enclave. 1300ft. With lift and parking. Near park. Gated block. Appx 26 yrs old. 2brs and attached baths. Very peaceful location. Hello and a very warm welcome to our company. We are a real estate company based in safdarjung enclave. The company name is citi realtors. It's a proprietorship of mr. Puneet bhogra. It was founded by late major o.P. Bhogra and is being contin...
46,DDA Flats Sarita Vihar,"2 BHK Flat in Sarita Vihar, Delhi",2 BHK,"1,000 sqft",₹1.21 Cr,Third floor with terrace residential apartment for sale located in sarita vihar pocket f
47,E2 Vasant Kunj,2 BHK Flat in Vasant Kunj,2 BHK,900 sqft,₹1.6 Cr,"This 2 bhk flat is located in e2 vasant kunj, which houses some of the most spacious flats in vasant kunj, south delhi. The flat occupies a carpet area of 900 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 2 balconies. This flat lies on the 1st level of a 4 storey building. Being a ready to move project, you can expect immediate possession of this 10+ years old property. The society is wel..."
48,TRWA Sector A Pocket A,2 BHK Flat in Vasant Kunj,2 BHK,"1,100 sqft",₹2.3 Cr,"Trwa sector a pocket a is one of south delhi's most sought after destination for apartments and this 2 bhk flat in vasant kunj is your opportunity to be a part of this community. Containing 2 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a carpet area of 1100 sq.Ft. This flat is situated on the ground floor of this 3 floors tall residential building. An added advantage of this..."
49,"Chattarpur, Delhi, South Delhi","2 BHK Independent Builder Floor in Chattarpur, Delhi",2 BHK,850 sqft,₹61 Lac,"Chattarpur is one of the sought after locations in south delhi to purchase a residential house. This 2 bhk builder floor in chattarpur provides you an opportunity to be a part of this location. This spacious builder floor provides you 2 bedrooms, 2 bathrooms and 1 balcony. This property is semi-Furnished. This property spans over carpet area of 850 sq.Ft. You can find this spectacular builder f..."
50,DDA B2 Green Glade Apartments,"2 BHK Flat in Sector B Vasant Kunj, Delhi",2 BHK,"1,150 sqft",₹2.65 Cr,"This 2 bhk apartment is available for sale in dda b2 green glade apartments, one of the most prominent projects for flats in sector b vasant kunj, south delhi. The flat is facing the north-East direction. The flat is over 1150 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. The residential building has 3 floors in total and the flat for sale is located on the 1st fl..."
51,E2 Vasant Kunj,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,000 sqft",₹1.65 Cr,2bhk (Mig) flat fully extended with front nd back balcony nd excellent ventilation or good sunlight with lift.
52,DDA Flats Sector B Pocket 2,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,100 sqft",₹2.65 Cr,Very nice property with good ventilation and extension area
53,DDA Flats Sector C Pocket 9,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,000 sqft",₹2.25 Cr,"Dda flats sector c pocket 9 is one of south delhi's most sought after destination for apartments and this 2 bhk flat in vasant kunj is your opportunity to be a part of this community. This residential flat is north-East-Facing direction. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a carpet area of 1000 sq.Ft. The flat has a total of 3 floors and this property ..."
54,DDA Flats Jasola,"2 BHK Flat in Jasola, Delhi",2 BHK,930 sqft,₹1.65 Cr,2 bhk dda flat for sale in jasola
55,"Block F Lajpat Nagar 1, Delhi, South Delhi","2 BHK Independent Builder Floor in Block F Lajpat Nagar 1, Delhi",2 BHK,"1,000 sqft",₹2.1 Cr,Well constructed ready to move property available in lajpat nagar close from metro station. Property is with & car parking
56,DDA Santushti Apartments,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,950 sqft,₹2 Cr,It's corner property. Good location.
57,DDA Narmada Apartment,"2 BHK Flat in Sector D Vasant Kunj, Delhi",2 BHK,"1,250 sqft",₹2.25 Cr,"It's 2bhk extended and fully renovated flat in d6 apartment,here open parking,cctv camera and rwa security ,well maintained park and this flat is also park facing corner property,here school,malls,market and hospitals are in 1 km area...."
58,DDA Flats Sarita Vihar,"2 BHK Flat in Sarita Vihar, Delhi",2 BHK,"1,100 sqft",₹1.25 Cr,Third floor with terrace residential apartment for sale located in sarita vihar pocket f
59,DDA Flats Sarita Vihar,"2 BHK Flat in Sarita Vihar, Delhi",2 BHK,"1,250 sqft",₹1.55 Cr,"Dda flats sarita vihar is one of the most popular destination for buying apartments/ flats in sarita vihar, south delhi. You too can be a part of this society by purchasing this 2 bhk flat here. This is a east-Facing property. The flat occupies a super built up area of 1250 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 2 balconies. This flat is situated on the 2nd floor of this 4 floors t..."
60,DDA Flats Sector B Pocket 9,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,400 sqft",₹2.9 Cr,"This beautiful 2 bhk flat in vasant kunj, south delhi is situated in dda flats sector b pocket 9, one of the popular residential society in south delhi. The flat is over 1400 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. The residential building has 3 floors in total and the flat for sale is located on the 2nd floor. This is a ready to move project and the propert..."
61,"Paryavaran Complex, Delhi, South Delhi","2 BHK Independent Builder Floor in Paryavaran Complex, Delhi",2 BHK,850 sqft,₹65 Lac,"Planning to purchase dream house in south delhi? This 2 bhk builder floor in paryavaran complex is a great option for you. Equipped with 2 bedrooms, 2 bathrooms and 1 balcony. The furnishing status of the builder floor is semi-Furnished. This property spans over super built up area of 850 sq.Ft. This beautiful property resides at ground floor of 4 floors building. This ready to move apartment i..."
62,Rwa Bhagwan Nagar,"2 BHK Flat in Ashram, Delhi",2 BHK,900 sqft,₹67 Lac,"This is a 2 bedroom hall kitchen and 2 washroom with one balcony. It is on a high street in well respected area. Actual asking price was 67 lakhs since it needs work before moving in, so a discount of 3 lakhs was given, And it is negotiable as well If interested to see the property do give us on a call on the given no. Thank you"
63,"Sant Nagar, Delhi, South Delhi","2 BHK Independent Builder Floor in Sant Nagar, Delhi",2 BHK,900 sqft,₹1.25 Cr,With lift and parking newly built first floor sant nagar east of kailash new delhi
64,DDA Flats Sector B Pocket 2,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,400 sqft",₹2.5 Cr,"Check out this 2 bhk apartment for sale in dda flats sector b pocket 2, a popular residential project that houses in-Demand flats in vasant kunj, south delhi. The flat is facing the north direction. Constructed on a super built up area of 1400 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 3 balconies. The residential building has 4 floors in total and the flat for sale is located on ..."
65,Vijay Mandal Enclave DDA Flats,"2 BHK Flat in Vijay Mandal Enclave, Delhi",2 BHK,"1,040 sqft",₹1.57 Cr,"Earth associates offer property for rent of 2 bedrooms drawing-Dining with attached 2 bath and 2 balconies in thelocation of vijay mandal enclave, delhi south. The property available in reasonable price of rs. 1,57,00,000/- (Rupees one crore fifty seven lakh only) This property which is situated on third floor of 4 storey building. The unit is 1 to 2 km from market, sports complex, siri fort au..."
66,"Chattarpur Enclave Phase 2, Delhi, South Delhi","2 BHK Independent Builder Floor in Chattarpur Enclave Phase 2, Delhi",2 BHK,850 sqft,₹60 Lac,"Looking for magnificent 2 bhk builder floors in chattarpur enclave phase 2 south delhi? This property is the best deal for you. Equipped with 2 bedrooms, 2 bathrooms and 1 balcony. This property is semi-Furnished. This builder floor spreads over carpet area of 850 sq.Ft. You can find this spectacular builder floor on the ground floor of 4 storey building. This ready to move apartment is the res..."
67,RWA Lajpat Nagar 1 Block A,"2 BHK Independent Builder Floor in Lajpat Nagar 1, Delhi",2 BHK,900 sqft,₹1.65 Cr,"This is a park facing house, with lift and stilt parking. This house is close to lajpat nagar metro station. Good schools and markets nearby. This locality is the jewel of south delhi. Kindly contact for more details."
68,E2 Vasant Kunj,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,800 sqft,₹1.75 Cr,2bhk (Hig) flat with 2 balcony nice location or with mcd map approved terrace. Good sunlight in flat and nice space.
69,"Block C Kalkaji, Delhi, South Delhi","2 BHK Independent Builder Floor in Block C Kalkaji, Delhi",2 BHK,900 sqft,₹1.8 Cr,"Beautiful brand new independent third floor with terrace, semi furnished, 2 bhk in kalkaji. Ample natural light, exclusive parking, lift, utility area. Close proximity to metro, markets, hospitals and parks. Reputed builder, good quality construction, best rates and service by maxx realty."
70,"Kalkaji, Delhi, South Delhi","2 BHK Independent Builder Floor in Kalkaji, Delhi",2 BHK,900 sqft,₹1.65 Cr,"Beautiful brand new independent first floor, semi furnished, 2 bhk in kalkaji. Park facing, ample natural light, exclusive parking, lift, utility area. Close proximity to metro, markets, hospitals and parks. Reputed builder, good quality construction, best rates and service by maxx realty."
71,"Kalkaji, Delhi, South Delhi","2 BHK Independent Builder Floor in Kalkaji, Delhi",2 BHK,900 sqft,₹1.75 Cr,"Beautiful brand new independent ground floor, semi furnished, 2 bhk in kalkaji. Park facing, ample natural light, exclusive parking, lift, utility area. Close proximity to metro, markets, hospitals and parks. Reputed builder, good quality construction, best rates and service by maxx realty."
72,DDA Flats Sarita Vihar,"2 BHK Flat in Sarita Vihar, Delhi",2 BHK,700 sqft,₹72 Lac,Shree durga real estate 550 sq ft 1st floor Dda lig flats 2011 allotment Molarband lig flats One bhk semi-Furnished flat Loan available up to 80% Just 1 km from mohan state metro station next to sarita vihar 24*7 water & electricity is available 24*7 security guard is available on main gate 24*7 common car & bike parking is available in the society Society is very peaceful & with very greenery ...
73,DDA Flats Sarita Vihar,"2 BHK Flat in Sarita Vihar, Delhi",2 BHK,700 sqft,₹72 Lac,Shree durga real estate 700 sq ft Ground floor Dda lig flats 2011 allotment Molarband lig flats Extended 2 bhk semi-Furnished flat Loan available up to 80% Circle rate of this society flats are 42 lakh Just 1 km from mohan state metro station next to sarita vihar 24*7 water & electricity is available 24*7 security guard is available on main gate 24*7 common car & bike parking is available in th...
74,DDA Flats Sector C Pocket 6,"2 BHK Flat in Vasant Kunj, South Delhi",2 BHK,"1,700 sqft",₹3.9 Cr,"Property description This newly built property offers a unique investment opportunity, featuring a combination of residential and commercial spaces. Located in a prime area, the property includes: **residential section:** - **2 bhk flat**: The residential section includes a spacious 2-Bedroom, 2-Bathroom flat. - **modern layout**: The flat is designed with a modern open-Concept layout that seam..."
75,"Block I Lajpat Nagar 1, Delhi, South Delhi","2 BHK Independent Builder Floor in Block I Lajpat Nagar 1, Delhi",2 BHK,900 sqft,₹1.55 Cr,Well constructed property park facing with car parking
76,RWA Dayanand Colony,"2 BHK Independent Builder Floor in Block D Lajpat Nagar, Delhi",2 BHK,950 sqft,₹1.65 Cr,Well constructed property located in lajpat nagar 1. Semi furnish with ac almeera & geysers Close from metro connectivity
77,Sukhsaroj Luxurious Homes,"2 BHK Independent Builder Floor in Ashram, Delhi",2 BHK,765 sqft,₹85 Lac,"Available is residential brand new untouched property in ashram locations with semi furnished, car parking & lift and all connectivity Additional details : Piped gas facility is available. The kitchen has been built with modular fittings. No power backup available. The house has muncipal supply. Each house has a dedicated water tank. You can easily park your car inside the compound. There is al..."
78,DDA Flats,"2 BHK Flat in Sheikh Sarai, Delhi",2 BHK,775 sqft,₹1.15 Cr,"Sheikh sarai ph ll , corner dda free hold 2 bhk recently renovated with two bathrooms, with one open veranda, on ground floor , well airy rooms, good sunlight, and well ventilated property. Loan facility also can be avail on this property too"
79,"Chattarpur, Delhi, South Delhi","2 BHK Independent Builder Floor in Chattarpur, Delhi",2 BHK,850 sqft,₹60 Lac,"2 bhk builder floor in chattarpur enjoys a prime property in south delhi. This apartment is just the type of property you are looking for. This builder floor comes with 2 bedrooms, 2 bathrooms and 1 balcony. This property is semi-Furnished. This spacious builder floor has carpet area of 850 sq.Ft. This builder floor apartment is located at 1st floor in a building of total 4 floors. You can plan..."
80,"Chattarpur, Delhi, South Delhi","2 BHK Independent Builder Floor in Chattarpur, Delhi",2 BHK,900 sqft,₹80 Lac,"Carefully laid out in the prime location of south delhi, this elegant 2 bhk builder floor in chattarpur is a well-Suited property for you. This builder floor comes with 2 bedrooms, 2 bathrooms . It's a semi-Furnished property. This spacious builder floor has carpet area of 900 sq.Ft. This builder floor apartment is located at ground floor in a building of total 4 floors. This 1-5 years old buil..."
